"x,y"
"04.06.2023,27.041"
"03.06.2023,27.077"
"02.06.2023,27.254"
"01.06.2023,26.833"
"31.05.2023,27.220"
"30.05.2023,27.723"
"29.05.2023,27.772"
"28.05.2023,28.096"
"27.05.2023,26.885"
"26.05.2023,26.737"
"25.05.2023,26.498"
"24.05.2023,26.344"
"23.05.2023,27.243"
"22.05.2023,26.869"
"21.05.2023,26.760"
"20.05.2023,27.126"
"19.05.2023,26.911"
"18.05.2023,26.862"
"17.05.2023,27.425"
"16.05.2023,27.054"
"15.05.2023,27.190"
"14.05.2023,26.937"
"13.05.2023,26.790"
"12.05.2023,26.818"
"11.05.2023,27.016"
"10.05.2023,27.622"
"09.05.2023,27.668"
"08.05.2023,27.701"
"07.05.2023,28.464"
"06.05.2023,28.909"
"05.05.2023,29.526"
"04.05.2023,28.844"
